"openGammaCall","openGammaPut","closeMin001","closeMin002","closeMin003","closeMin004","closeMin005","closeMin006","closeMin007","closeMin008","closeMin009","closeMin010","closeMin011","closeMin012","closeMin013","closeMin014","closeMin015","closeMin016","closeMin017","closeMin018","closeMin019","closeMin020","closeMin021","closeMin022","closeMin023","closeMin024","closeMin025","closeMin026","closeMin027","closeMin028","closeMin029","closeMin030","closeMin031","closeMin032","closeMin033","closeMin034","closeMin035","closeMin036","closeMin037","closeMin038","closeMin039","closeMin040","closeMin041","closeMin042","closeMin043","closeMin044","closeMin045","closeMin046","closeMin047","closeMin048","closeMin049","closeMin050","closeMin051","closeMin052","closeMin053","closeMin054","closeMin055","closeMin056","closeMin057","closeMin058","closeMin059","closeMin060","closeMin061","closeMin062","closeMin063","closeMin064","closeMin065","closeMin066","closeMin067","closeMin068","closeMin069","closeMin070","closeMin071","closeMin072","closeMin073","closeMin074","closeMin075","closeMin076","closeMin077","closeMin078","closeMin079","closeMin080","closeMin081","closeMin082","closeMin083","closeMin084","closeMin085","closeMin086","closeMin087","closeMin088","closeMin089","closeMin090","closeMin091","closeMin092","closeMin093","closeMin094","closeMin095","closeMin096","closeMin097","closeMin098","closeMin099","closeMin100","closeMin101","closeMin102","closeMin103","closeMin104","closeMin105","closeMin106","closeMin107","closeMin108","closeMin109","closeMin110","closeMin111","closeMin112","closeMin113","closeMin114","closeMin115","closeMin116","closeMin117","closeMin118","closeMin119","closeMin120","closeMin121","closeMin122","closeMin123","closeMin124","closeMin125","closeMin126","closeMin127","closeMin128","closeMin129","closeMin130","closeMin131","closeMin132","closeMin133","closeMin134","closeMin135","closeMin136","closeMin137","closeMin138","closeMin139","closeMin140","closeMin141","closeMin142","closeMin143","closeMin144","closeMin145","closeMin146","closeMin147","closeMin148","closeMin149","closeMin150","closeMin151","closeMin152","closeMin153","closeMin154","closeMin155","closeMin156","closeMin157","closeMin158","closeMin159","closeMin160","closeMin161","closeMin162","closeMin163","closeMin164","closeMin165","closeMin166","closeMin167","closeMin168","closeMin169","closeMin170","closeMin171","closeMin172","closeMin173","closeMin174","closeMin175","closeMin176","closeMin177","closeMin178","closeMin179","closeMin180","closeMin181","closeMin182","closeMin183","closeMin184","closeMin185","closeMin186","closeMin187","closeMin188","closeMin189","closeMin190","closeMin191","closeMin192","closeMin193","closeMin194","closeMin195","closeMin196","closeMin197","closeMin198","closeMin199","closeMin200","closeMin201","closeMin202","closeMin203","closeMin204","closeMin205","closeMin206","closeMin207","closeMin208","closeMin209","closeMin210","closeMin211","closeMin212","closeMin213","closeMin214","closeMin215","closeMin216","closeMin217","closeMin218","closeMin219","closeMin220","closeMin221","closeMin222","closeMin223","closeMin224","closeMin225","closeMin226","closeMin227","closeMin228","closeMin229","closeMin230","closeMin231","closeMin232","closeMin233","closeMin234","closeMin235","closeMin236","closeMin237","closeMin238","closeMin239","closeMin240"
131500151,73564094,100,100,99.9877,100,99.9877,99.9877,99.9754,100,100.0123,100.0123,100.0123,100.0123,100.0369,100.0369,100.0246,100.0123,100.0123,100.0123,100.0123,100.0246,100.0123,100.0123,100.0123,100,100.0246,100.0369,100.0615,100.0492,100.0246,100.0246,100.0369,100.0492,100.0123,100,100.0246,100.0369,100.0492,100.0369,100.0369,100.0369,100.0369,100.0246,100.0369,100.0369,100.0492,100.0492,100.0615,100.0246,100.0246,100.0492,100.0246,100.0246,100,99.9877,99.9877,99.9877,100.0246,100.0123,100.0123,100.0123,100,100,99.9754,99.9754,99.9754,99.9754,99.9631,99.9262,99.9631,99.9631,99.9877,100.0123,99.9877,100,100,99.9877,100,100.0246,100.0123,100.0123,100.0123,100.0246,100.0738,100.0738,100.0615,100.0492,100.0738,100.0615,100.0369,100.0615,100.0246,100.0123,100.0123,100,99.9631,99.9754,99.9877,100,100,100.0123,100.0246,100.0246,100.0369,100.0369,100.0369,100,99.9877,99.9877,99.9877,99.9877,100.0123,100.0123,100,99.9877,99.9754,99.9631,99.9631,99.9631,99.9754,100.0246,100.0246,100.0369,100.0615,100.0615,100.0123,100.0492,100.0615,100.0738,100.0738,100.0861,100.0492,100.1107,100.0861,100.123,100.1107,100.1353,100.1353,100.123,100.123,100.0984,100.1353,100.123,100.0861,100.0861,100.0861,100.0369,100.0738,100.0738,100.0861,100.123,100.1845,100.1845,100.1722,100.1968,100.1599,100.1845,100.1599,100.0984,100.0492,100.0738,100.0492,100.0246,100.0615,100.1476,100.1722,100.2091,100.1968,100.1599,100.2214,100.246,100.2091,100.1968,100.1968,100.246,100.2583,100.2829,100.2952,100.2952,100.2829,100.2706,100.2214,100.2091,100.2091,100.1968,100.1968,100.1722,100.2091,100.1845,100.2214,100.1476,100.1476,100.1599,100.1476,100.1722,100.1599,100.1107,100.0984,100.1107,100.1353,100.1353,100.0861,100.0984,100.1107,100.1599,100.1476,100.2091,100.1845,100.2091,100.1845,100.2337,100.2091,100.1968,100.1722,100.1476,100.1353,100.1599,100.1599,100.1107,100.0984,100.0861,100.0615,100.0369,100.0615,100.0984,100.0615,100.0984,100.0738,100.0861,100.0984,100.1599,100.1476,100.1353,100.1353,100.1107,100.0984,100.0738,100.0615,100.0369,100.0246,99.9877
49061693,68383750,100,99.99,99.9801,100,99.9602,100,100,100,100,99.9701,99.9602,99.99,99.9801,99.9801,99.9801,100.01,100.0299,100.0199,100.0398,100.0498,100.0598,100.0598,100.0598,100.0697,100.0398,100.0398,100.0299,100.0398,100.0299,100.0398,100.01,100,99.99,99.99,99.9701,99.9602,99.9502,99.8606,99.8406,99.8307,99.8307,99.8108,99.7809,99.7709,99.7809,99.7908,99.8108,99.8008,99.8207,99.8207,99.7908,99.7809,99.7908,99.8008,99.8008,99.7908,99.8008,99.8108,99.8406,99.8307,99.7709,99.7311,99.7211,99.751,99.741,99.7211,99.761,99.741,99.7709,99.7908,99.8307,99.8108,99.7908,99.751,99.761,99.8008,99.8108,99.7908,99.7709,99.8008,99.7809,99.7311,99.751,99.7112,99.7012,99.741,99.761,99.761,99.7112,99.7112,99.751,99.7211,99.7012,99.7012,99.6912,99.6813,99.7211,99.7211,99.751,99.751,99.7311,99.751,99.7709,99.7908,99.7908,99.8008,99.8008,99.8008,99.7809,99.761,99.761,99.7311,99.7311,99.761,99.7809,99.7709,99.751,99.751,99.7211,99.741,99.741,99.7311,99.761,99.8606,99.9502,99.8904,99.9203,99.9303,99.8904,99.9004,99.8108,99.8506,99.8506,99.8406,99.7908,99.751,99.7012,99.7709,99.7908,99.761,99.7012,99.6116,99.6215,99.6116,99.6614,99.6016,99.6514,99.7112,99.6912,99.6912,99.7211,99.7709,99.8307,99.8506,99.7908,99.7908,99.7709,99.7211,99.6813,99.6813,99.7012,99.751,99.7908,99.7112,99.5817,99.512,99.5219,99.5717,99.6016,99.5717,99.5717,99.5518,99.6414,99.6315,99.5717,99.6016,99.5319,99.5618,99.5817,99.5817,99.5817,99.4522,99.4124,99.4223,99.4622,99.502,99.4124,99.4622,99.3924,99.3825,99.4422,99.4323,99.4124,99.4522,99.4622,99.5418,99.5319,99.5618,99.5418,99.4323,99.3127,99.3227,99.3227,99.3426,99.2629,99.2629,99.3028,99.2629,99.243,99.2829,99.243,99.2231,99.2629,99.3227,99.3625,99.3028,99.3227,99.3327,99.3725,99.3028,99.2231,99.1932,99.2032,99.1633,99.2131,99.1434,99.243,99.2131,99.253,99.2032,99.0936,99.0837,99.0637,99.0538,99.0637,99.1434,99.1733,99.2131,99.2131,99.3028
79306648,96243823,100,100.0244,99.9878,99.9634,99.9512,99.9634,100,100,100,100,100.0366,100.0366,100.0488,100.0977,100.1465,100.1709,100.1587,100.1709,100.1709,100.1587,100.1465,100.1343,100.1465,100.1587,100.1587,100.1587,100.1099,100.1221,100.1343,100.1221,100.1099,100.0977,100.0855,100.0977,100.0977,100.0855,100.0733,100.0733,100.0733,100.0855,100.0733,100.0855,100.0855,100.0855,100.0977,100.0855,100.0977,100.0977,100.1099,100.1099,100.061,100.0488,100.0488,100.0366,100.0366,100.0366,100.0244,100.0244,100.0244,100.0366,100.0122,100.0122,100.0366,100.0488,100.0733,100.061,100.0733,100.0488,100.061,100.0488,100.061,100.061,100.0855,100.0855,100.0733,100.0733,100.061,100.0855,100.0733,100.0488,100.0488,100.061,100.0366,100.0366,100.0366,100.0122,100.0366,100.0366,100,99.9878,100.0122,100,100,100.0122,100,100,100,99.9756,99.9878,99.9756,100.0122,100,100.0366,100.0366,100.061,100.0733,100.0733,100.0733,100.0488,100.061,100.0488,100.0488,100.0488,100.0488,100.0366,100.0488,100.0366,100.061,100.061,100.0733,100.0244,100.0855,100.1465,100.0977,100.1221,100.0733,100.0244,99.9878,100.0244,100.0977,100.1343,100.0733,100.1709,100.0733,100.0733,100.0855,100.0366,100.1099,100.0733,100.0855,99.9878,99.9756,99.9756,100,100.0122,100.0244,100,100.0244,100.0488,100.0488,100.0977,100.1099,100.1587,100.1953,100.1465,100.2198,100.1709,100.1465,100.1343,100.1465,100.1709,100.1465,100.0977,100.0855,100.1221,100.0977,100.0855,100.0733,100.0733,100.1343,100.232,100.1953,100.1831,100.1831,100.1831,100.1709,100.1465,100.1587,100.1343,100.1099,100.0977,100.1221,100.0977,100.1099,100.1465,100.1343,100.1465,100.1587,100.1587,100.1221,100.1343,100.0733,100.0366,100.0488,100.0488,100.061,100.0366,100.0488,100.0122,100.0366,100.0122,100.0244,100.0244,100.0488,100.0244,100,100,100,100.0366,100.0244,100,100.0366,100.0733,100.0733,100.0855,100.1221,100.0855,100.1099,100.0977,100.1465,100.1709,100.1465,100.1221,100.1221,100.1099,100.1221,100.1221,100.1343,100.1099,100.0733,100.1099,100.0855,100.1099,100.0977,100.0977,100.0855,100.0733,100.0977,100.1099,100.1465
190750562,93258399,100,100,99.9896,99.9896,99.9896,99.9896,99.9791,99.9896,100.0104,100.0104,100.0104,100,99.9896,99.9896,99.9791,99.9791,99.9791,99.9791,99.9687,99.9687,99.9583,99.9583,99.9479,99.9583,99.9687,99.9583,99.9583,99.9479,99.9374,99.9374,99.9479,99.9583,99.9479,99.9374,99.9374,99.927,99.9374,99.927,99.927,99.9166,99.9061,99.8957,99.8957,99.8957,99.9061,99.9061,99.9061,99.9166,99.9061,99.8957,99.8853,99.8957,99.8957,99.9061,99.9166,99.9166,99.9061,99.9166,99.9166,99.927,99.9166,99.9061,99.8957,99.8957,99.9061,99.9166,99.9166,99.9061,99.8957,99.8853,99.8853,99.8748,99.854,99.8748,99.8644,99.8644,99.8748,99.8748,99.8853,99.8853,99.8957,99.8957,99.8853,99.8748,99.8853,99.8853,99.8957,99.8957,99.8853,99.8748,99.8853,99.8644,99.8644,99.8853,99.8853,99.8748,99.8853,99.8957,99.8853,99.9166,99.9166,99.9166,99.9166,99.9166,99.9061,99.9166,99.9166,99.9166,99.9061,99.9166,99.9166,99.9374,99.9479,99.9479,99.9479,99.9583,99.9479,99.9374,99.9583,99.9583,99.9374,100.0104,99.9791,100,99.9791,100,99.9583,99.8957,99.854,99.8331,99.8436,99.8331,99.8436,99.8644,99.8853,99.8748,99.854,99.8644,99.854,99.8331,99.854,99.8436,99.8227,99.854,99.8331,99.854,99.854,99.8436,99.8331,99.8227,99.8227,99.8227,99.8436,99.8748,99.8644,99.8644,99.854,99.8853,99.8748,99.8644,99.8748,99.8644,99.854,99.8227,99.8123,99.8123,99.8227,99.8331,99.8436,99.8331,99.8436,99.8436,99.8331,99.8227,99.8227,99.8227,99.8227,99.8227,99.8227,99.8123,99.8227,99.8123,99.8123,99.8331,99.8436,99.8436,99.8331,99.8227,99.8436,99.8331,99.8436,99.854,99.8748,99.8748,99.8853,99.8853,99.8644,99.8748,99.8748,99.854,99.8123,99.8123,99.7914,99.7601,99.7705,99.7705,99.781,99.8018,99.7914,99.7914,99.8123,99.8123,99.8123,99.8123,99.8018,99.8123,99.8018,99.8123,99.8123,99.7914,99.7705,99.7705,99.7705,99.7601,99.7497,99.7705,99.781,99.7705,99.7705,99.7601,99.7705,99.7393,99.7288,99.7288,99.7184,99.7288,99.7184,99.708,99.7184,99.7184
209460450,142983394,100,100,99.9909,99.9909,99.9818,99.9818,99.9909,99.9909,100.0091,100.0273,100.0182,100.0273,100,99.9818,100.0091,100.0182,100.0273,100.0364,100.0273,99.9909,99.9909,99.9909,99.9909,99.9909,100,100.0273,100.0182,100.0182,100,99.9909,99.9818,99.9727,99.9818,99.9636,99.9545,99.9362,99.9545,99.9636,99.9727,99.9454,99.9545,99.918,99.9271,99.918,99.8907,99.8998,99.8634,99.8725,99.8907,99.8998,99.9089,99.8998,99.827,99.8816,99.8452,99.7905,99.7541,99.7996,99.8179,99.7723,100.1913,100.2732,100.5191,100.4736,100.5191,100.6193,100.5738,100.5009,100.4918,100.5282,100.4554,100.4281,100.4827,100.4189,100.4098,100.4645,100.4645,100.4918,100.4736,100.5373,100.4645,100.4554,100.5009,100.4918,100.5282,100.5738,100.5464,100.6102,100.5647,100.5738,100.5373,100.6011,100.6102,100.6375,100.6557,100.6648,100.674,100.674,100.6193,100.6922,100.6922,100.6557,100.6648,100.6284,100.6466,100.6193,100.592,100.5738,100.592,100.5738,100.5647,100.6011,100.592,100.5738,100.5738,100.5464,100.5556,100.5464,100.5464,100.5373,100.6193,100.6011,100.51,100.4645,100.4554,100.4736,100.4827,100.4098,100.4554,100.5009,100.4463,100.5191,100.5738,100.5738,100.4827,100.4736,100.5282,100.5282,100.5373,100.5738,100.6102,100.6375,100.6466,100.6284,100.6011,100.6102,100.592,100.5829,100.592,100.6284,100.674,100.6375,100.6466,100.5647,100.6102,100.592,100.6375,100.7013,100.7377,100.7286,100.7013,100.6557,100.7286,100.7377,100.7832,100.8106,100.8197,100.8015,100.8288,100.8288,100.8561,100.8288,100.8652,100.8379,100.7923,100.8015,100.7832,100.8106,100.8106,100.8197,100.7832,100.8106,100.8197,100.8652,100.8925,100.8925,100.9016,100.929,100.9472,100.9107,100.9381,100.9472,100.9472,100.9472,101.0018,100.9927,101.0109,101.0109,100.9836,101.0109,101.0565,101.0565,101.0018,100.9927,101.0018,100.9563,100.9563,100.9381,100.929,100.9472,100.9563,100.9836,100.9836,100.9927,100.9472,100.929,100.9199,100.929,100.9381,100.9654,100.9563,100.9745,100.9654,100.9745,100.9836,101.0018,100.9745,100.9836,101.0018,101.02,101.0291,101.02,101.0291,101.0018,101.02,101.0109,100.9927,101.0109,101.0747,101.0565
87039320,89967268,100,100,99.9757,99.9636,99.9636,99.9393,99.9393,99.9514,99.9514,99.9514,99.9636,99.9636,99.9636,99.9636,99.9393,99.9029,99.915,99.915,99.915,99.9029,99.9272,99.9029,99.8908,99.8908,99.8908,99.8786,99.8908,99.8786,99.8786,99.8908,99.8908,99.8786,99.8543,99.8543,99.8179,99.8301,99.8301,99.8179,99.8179,99.8301,99.8179,99.8179,99.8179,99.8179,99.8665,99.8665,99.8422,99.8422,99.8301,99.8422,99.8543,99.8422,99.8301,99.8058,99.8058,99.8058,99.7936,99.7694,99.7815,99.8058,99.7936,99.7694,99.7815,99.7815,99.7815,99.7815,99.7694,99.7694,99.7572,99.7572,99.7694,99.7572,99.7572,99.7694,99.7694,99.7694,99.7694,99.7572,99.7694,99.7815,99.7329,99.7451,99.7451,99.7087,99.7087,99.6844,99.7087,99.6965,99.6965,99.6965,99.6965,99.6601,99.648,99.6601,99.6601,99.6358,99.6237,99.6358,99.648,99.6358,99.6601,99.6844,99.6723,99.6723,99.6723,99.6116,99.5994,99.6237,99.6237,99.6237,99.6237,99.5994,99.5873,99.5751,99.5751,99.5509,99.5509,99.563,99.5509,99.563,99.5266,99.5873,99.6237,99.6723,99.7087,99.7694,99.7572,99.7694,99.7936,99.7815,99.7451,99.7694,99.7936,99.8665,99.8908,99.915,99.9029,99.8665,99.8665,99.7936,99.7936,99.7936,99.8301,99.8301,99.8058,99.7815,99.7815,99.7936,99.7815,99.8908,99.8422,99.9272,99.8543,99.8786,99.8543,99.915,99.9029,99.9393,99.9272,99.9029,99.8543,99.9029,99.8665,99.8058,99.8179,99.8543,99.8301,99.8665,99.8422,99.8179,99.8543,99.8058,99.7694,99.7572,99.6965,99.648,99.6237,99.6237,99.6116,99.6237,99.6116,99.6358,99.6116,99.6116,99.6601,99.6723,99.648,99.6237,99.563,99.6116,99.6237,99.6237,99.648,99.6965,99.6601,99.6237,99.6358,99.6601,99.6237,99.6965,99.7087,99.6723,99.6965,99.6601,99.6844,99.6601,99.6723,99.6723,99.6844,99.6601,99.6601,99.6965,99.7451,99.7451,99.7208,99.7329,99.6844,99.6965,99.6965,99.6601,99.6358,99.5873,99.5509,99.5266,99.478,99.4902,99.478,99.478,99.4902,99.4902,99.5266,99.5266,99.5023,99.5266,99.5509,99.5387,99.5387,99.5509,99.563,99.5509
250696899,89946787,100,100.0179,100.0089,100,99.9911,100,100,100.0089,100.0089,100.0089,100.0089,100.0179,100.0089,99.9911,100,100,100,100.0089,100.0089,100.0089,100.0268,100.0268,100.0268,100.0358,100.0179,100.0179,100.0089,99.9911,99.9911,99.9911,100.0089,100,100,100,100.0179,100,100.0089,100.0089,100.0089,100.0268,100.0358,100.0268,100.0358,100.0447,100.0447,100.0447,100.0268,100.0179,100.0089,100.0268,100.0179,100,100.0089,100.0089,100,99.9911,99.9821,99.9821,99.9821,99.9821,99.9821,99.9821,99.9732,99.9821,99.9911,99.9911,99.9821,99.9642,99.9642,99.9642,99.9732,99.9642,100,99.9911,100,99.9911,99.9911,99.9821,99.9732,99.9374,99.9463,99.9463,99.9374,99.9374,99.9463,99.9642,99.9463,99.9642,99.9553,99.9374,99.9284,99.9195,99.8926,99.8926,99.8926,99.9105,99.8926,99.8837,99.8926,99.8926,99.8837,99.8926,99.9105,99.9195,99.9105,99.9195,99.9284,99.9195,99.8926,99.9195,99.9284,99.9195,99.9195,99.9195,99.9374,99.9284,99.9284,99.9284,99.9374,99.9105,99.9642,99.9642,100,100.0179,100.0179,100.0179,99.9821,99.9642,99.9732,99.9374,99.9374,99.9463,99.9821,99.9911,99.9911,100.0089,100.0447,100,100.0179,100.0179,100.0626,100.0716,100.0626,100.0626,100.0268,100.0895,100.0716,100.0447,100.0626,100.0716,100.1432,100.1521,100.1342,100.1253,100.1253,100.0895,100.0984,100.1163,100.0716,100.1253,100.1074,100.1253,100.1163,100.1163,100.1432,100.1521,100.179,100.179,100.1611,100.1969,100.17,100.1342,100.1432,100.1521,100.1432,100.17,100.17,100.179,100.1879,100.179,100.2416,100.2327,100.2148,100.2416,100.2416,100.2327,100.2416,100.2595,100.2506,100.2416,100.2327,100.2237,100.2774,100.2685,100.2506,100.2685,100.2685,100.2595,100.2864,100.2685,100.2595,100.2506,100.2685,100.2864,100.3043,100.2953,100.358,100.3848,100.3938,100.3669,100.358,100.3669,100.3759,100.3759,100.3848,100.4117,100.3938,100.3938,100.4206,100.4117,100.4027,100.4117,100.4117,100.4296,100.4117,100.3938,100.4117,100.4385,100.4564,100.4117,100.4206,100.4117,100.4027,100.4206,100.4117,100.4027,100.4027,100.4027,100.4027,100.4117
150054929,78020486,100,99.9746,99.9746,100,99.9873,99.9873,99.9873,99.9873,100,100,100.0127,100.0381,100.0381,100.0508,100.0381,100.0508,100.0254,100.0254,100.0508,100.0508,100.0508,100.0381,100.0381,100.0381,100.0381,100.0127,100.0254,100.0254,100.0381,100.0508,100.0762,100.0889,100.127,100.1143,100.1016,100.1016,100.0889,100.1016,100.0889,100.1016,100.1143,100.1143,100.1016,100.1016,100.1016,100.0762,100.0889,100.0889,100.0762,100.0889,100.0762,100.0889,100.0762,100.0889,100.0889,100.0762,100.0762,100.0889,100.0889,100.0889,100.0762,100.1016,100.0889,100.0889,100.0635,100.0762,100.0889,100.0762,100.0635,100.0762,100.0635,100.0762,100.0635,100.0635,100.0635,100.0635,100.0762,100.0762,100.0762,100.0762,100.0762,100.0889,100.0762,100.0762,100.0635,100.0889,100.0762,100.0762,100.0762,100.0635,100.0762,100.0889,100.0889,100.0762,100.0762,100.0762,100.0635,100.0889,100.0889,100.1016,100.0889,100.1016,100.1016,100.0889,100.0889,100.0889,100.0762,100.0762,100.0762,100.0762,100.0762,100.0762,100.1016,100.1016,100.1143,100.1397,100.1143,100.1524,100.1397,100.127,100.1143,100.127,100.1524,100.1143,100.0889,100.1143,100.0889,100.1143,100.0508,100.0889,100.1016,100.1143,100.0889,100.1016,100.1016,100.1651,100.1905,100.2031,100.1651,100.1524,100.1524,100.1778,100.1397,100.1397,100.1143,100.1016,100.1143,100.0635,100.0762,100.127,100.1143,100.1143,100.1397,100.1397,100.1524,100.1778,100.1651,100.1651,100.1524,100.1143,100.127,100.1397,100.127,100.1651,100.1651,100.1651,100.1524,100.1397,100.1143,100.1143,100.127,100.127,100.1397,100.1016,100.127,100.1524,100.127,100.1143,100.1143,100.127,100.1397,100.1397,100.1397,100.1397,100.1651,100.1651,100.1651,100.1651,100.127,100.1397,100.1524,100.1143,100.127,100.1397,100.1397,100.1651,100.1778,100.1778,100.1778,100.1778,100.1778,100.1778,100.1905,100.2158,100.2031,100.2031,100.2285,100.2158,100.2031,100.1778,100.2031,100.2031,100.2031,100.2031,100.2285,100.2158,100.2158,100.2285,100.2285,100.2285,100.2285,100.2285,100.2412,100.2285,100.2285,100.2158,100.2158,100.2031,100.2031,100.1905,100.2031,100.2158,100.2158,100.2285,100.2285,100.2158,100.2412,100.2285,100.2412,100.2158
197498233,190714887,100,100.0121,100.0121,100.0243,100,100,100.0121,100.0243,100.0121,100.0364,100.0243,100.0364,100.0485,100.0485,100.0606,100.0728,100.0728,100.0849,100.0728,100.0485,100.0606,100.0728,100.0606,100.0606,100.0606,100.0728,100.0728,100.0606,100.0606,100.0364,100.0485,100.0606,100.0606,100.097,100.0849,100.097,100.097,100.097,100.1334,100.1334,100.1213,100.1213,100.1334,100.1819,100.1577,100.1698,100.1819,100.1819,100.1941,100.1941,100.1819,100.1698,100.1577,100.1334,100.1213,100.1334,100.1213,100.1213,100.1577,100.1455,100.1577,100.1213,100.1577,100.1577,100.1213,100.1092,100.1213,100.0606,100.0728,100.0485,100.0364,100.0728,100.0606,100.0728,100.0485,100.0849,100.0606,100.0606,100.0606,100.0849,100.097,100.097,100.097,100.0728,100.0849,100.0849,100.097,100.1213,100.1455,100.1577,100.1455,100.1577,100.1698,100.1455,100.1213,100.1213,100.1213,100.097,100.097,100.097,100.097,100.1092,100.1092,100.1213,100.0849,100.097,100.1092,100.1334,100.1455,100.1577,100.1577,100.1455,100.1334,100.1455,100.1577,100.1577,100.1577,100.1577,100.1334,100.1213,100.0606,100.097,100.0849,100.1334,100.1455,100.1698,100.2304,100.2668,100.2304,100.2183,100.1819,100.2183,100.1455,100.1092,100.1092,100.1213,100.1213,100.1334,100.1213,99.9636,99.9272,99.9515,99.9636,99.9879,100,100,100.0243,100.0364,100.0485,100.0485,100.0364,100.0243,100.0121,100.0243,100.0606,100.0364,100.0243,100.0849,100.0606,100.0243,100.0243,100.1092,100.097,100.0243,100.0121,100,100.0364,100,100.0121,100.097,100.0849,100.0728,100.0728,100.0485,100.0728,100.0849,100.0728,100.0485,100.0728,100.1213,100.1455,100.1698,100.1455,100.1213,100.1092,100.0728,100.0364,100.0849,100.0606,100.1092,100.0728,100.0485,100.097,100.0849,100.097,100.097,100.1092,100.097,100.1092,100.097,100.0243,100.1334,100.0849,100.1213,100.1213,100.1334,100.1455,100.1092,100.097,100.0849,100.0364,99.9879,99.9394,99.9394,99.9636,99.9272,99.8787,99.903,99.8908,99.9515,99.9272,99.8908,99.9515,99.9515,99.9515,99.9394,99.8545,99.7938,99.8181,99.7938,99.8059,99.8302,99.8181,99.8181,99.8423,99.8423,99.8423,99.8545,99.8787,99.903
241623472,65610510,100,99.9888,99.9888,100,99.9888,99.9776,99.9888,100,99.9888,100,100,100,100,99.9888,100.0112,99.8433,99.8881,99.7985,99.8657,99.9776,99.8993,99.9328,99.9552,100.0112,100.0112,100.056,100.0112,100,99.9776,99.9776,99.9776,99.9888,99.9216,99.8769,99.8433,99.8881,99.9216,99.8769,99.8321,99.8881,99.8881,99.9105,99.9216,99.9216,99.944,99.9552,99.944,99.9664,99.9664,99.9552,99.944,99.9216,99.9105,99.9216,99.9105,99.9105,99.9328,99.9664,99.9888,99.9664,99.9552,99.9664,99.944,99.9328,99.944,99.9216,99.9776,99.9888,100.0224,100.0895,100.1007,100.0895,100.0895,100.0672,99.9664,100,99.9776,99.9664,99.9216,99.9328,99.9664,99.9664,99.9664,100.0112,99.9888,99.9664,100,100.0112,100.0336,100.0224,100.0336,100.0448,100.0224,100.0336,100.0336,100.0224,100.0336,100.1007,100.1119,100.1007,100.0895,100.056,100.056,100.056,100.056,100.056,100.0784,100.0784,100.0784,100.0784,100.0672,100.0672,100.0672,100.0672,100.0784,100.0672,100.056,100.056,100.0448,100.0448,99.9664,100,100.0336,100.0336,100.0672,99.9888,100.0336,100.056,100.1007,100.1119,100.1567,100.1903,100.1455,100.1455,100.1567,100.1679,100.1231,100.1343,100.1119,100.1119,100.2015,100.2127,100.1679,100.1343,100.1007,100.0448,100.0224,100.0336,100.056,100.056,99.9776,99.944,99.9552,99.944,99.944,99.9888,100.0224,99.9776,100.0336,100.0112,99.9888,99.9664,99.9216,99.9328,99.9664,99.9776,100.0224,99.9776,100.0224,100.0224,100.0224,100,100,100.0112,100.0224,100.0112,100.0224,100.0336,100.0112,100.0224,100.0336,100.0448,100.0224,100.0448,100.056,100.0336,100,100.0112,100.0448,100.0672,100.0895,100.0895,100.1343,100.1119,100.1007,100.0895,100.0672,100.056,100.1007,100.0784,100.0784,100.0784,100.0895,100.0895,100.1007,100.1231,100.1119,100.1119,100.1119,100.1231,100.1343,100.1455,100.1343,100.1679,100.1903,100.1679,100.1791,100.1679,100.1903,100.1567,100.1455,100.1567,100.1567,100.1679,100.1567,100.1231,100.1007,100.056,100.1007,100.1343,100.1567,100.1567,100.1903,100.2015,100.1791,100.1679,100.1791,100.1567,100.1343,100.1343
